,match,criteria from actual contract in original Romanina,criteria from actural contract translated in English,id,criteria from actural contract translated in English.,criteria from actural contract translated in English.the the value,criteria from actual contract in original Romanian,criteria from actual contract translated in English,criteria from actural contract translated in English.the,criteria from actural contract translated in English.the the
274,,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component, the score is awarded as follows: a) The lowest price receives the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (Minimum offered price / Price n) × maximum allocated score.",100200232,,,,,,
275,,"Consumul de combustibil (litri / 100km), în condiții de rulaj mixt (Omologare conform WLTP): Consumul de combustibil, exprimat în litri și reprezintă cantitatea de combustibil teoretică ce poate fi consumată de un autovehicul pentru parcursul efectuat sau pentru timpul de funcționare. Această cantitate se stabilește pe baza normelor de consum mixt de carburant determinate, exprimate în litri / 100km., Punctajul pentru factorul de evaluare ""Consumul de combustibil (litri/100km) în condiții de rulaj mixt"" (Omologare conform WLTP). cu o valoare de 30 puncte din totalul de 100 de puncte și cu o pondere de 30% din totalul criteriului de atribuire, se vor acorda după cum urmează:

a) Pentru oferta admisibilă cu cel mai redus Consumul de combustibil (litri/100km) în condiții de rulaj mixt (Omologare conform WLTP) – 30 puncte.
b) Pentru restul ofertelor admisibile, punctajul se va calcula utilizând următoarea formulă:
P Consumul de combustibil (litri/100km) în condiții de rulaj mixt (n) = Consumul de combustibil (litri/100km) în condiții de rulaj mixt (min)/ Consumul de combustibil (litri/100km) în condiții de rulaj mixt (n)x30, unde :
P Consumul de combustibil (litri/100km) în condiții de rulaj mixt (n): punctajul obținut de către oferta admisibilă aflată sub evaluare.
Consumul de combustibil (litri/100km) în condiții de rulaj mixt (min): cea mai redusă dintre duratele de Consumul de combustibil (litri/100km) în condiții de rulaj mixt dintre ofertele admisibile;
Consumul de combustibil (litri/100km) în condiții de rulaj mixt (n): Consumul de combustibil (litri/100km) în condiții de rulaj mixt a ofertei admisibile aflate sub evaluarea.
Notă: atunci când se prezintă intervalul (MIN / MAX), valoarea ce se va folosi la aplicarea algoritmului de calcul, este media aritmetică a valorilor ce constituie capetele intervalului.

Modalitate de îndeplinire:
Consumurile de combustibil (litri/100km) în condiții de rulaj mixt -urban și extraurban-(Omologare conform WLTP), care se compară, în vederea acordării punctajului, sunt cele declarate în propunerea tehnică depusă de ofertant și demonstrate prin prezentarea oricărui mijloc de probă adecvat, precum un dosar tehnic al producătorului, un raport de testare de la un organism recunoscut sau fișă tehnică de produs.","Fuel consumption (liters/100 km) under mixed driving conditions (WLTP type approval): Fuel consumption expressed in liters, representing the theoretical amount of fuel that a vehicle can consume for the distance travelled or operating time. This amount is determined based on the prescribed mixed fuel consumption standards expressed in liters/100 km. The evaluation factor ""Fuel consumption (liters/100 km) under mixed driving conditions"" (WLTP type approval) carries a value of 30 points out of a total of 100 points and a weight of 30% of the total award criteria, and will be awarded as follows:

a) The admissible offer with the lowest fuel consumption (liters/100 km) under mixed driving conditions (WLTP type approval) receives 30 points.
b) For the remaining admissible offers, the score is calculated using the following formula:
P_fuel consumption (liters/100 km) under mixed conditions (n) = (Fuel consumption (liters/100 km) under mixed conditions (min) / Fuel consumption (liters/100 km) under mixed conditions (n)) × 30,
where:
- P_fuel consumption (liters/100 km) under mixed conditions (n): the points obtained by the admissible offer under evaluation.
- Fuel consumption (liters/100 km) under mixed conditions (min): the lowest fuel consumption among the admissible offers.
- Fuel consumption (liters/100 km) under mixed conditions (n): the fuel consumption of the admissible offer being evaluated.
Note: when a range (MIN / MAX) is presented, the value used in the calculation algorithm is the arithmetic mean of the two endpoint values.

Method of fulfilment:
Fuel consumption (liters/100 km) under mixed urban and extra‑urban driving conditions (WLTP type approval), which is compared for scoring purposes, must be the values declared in the technical proposal submitted by the bidder and demonstrated by appropriate evidence such as the manufacturer's technical dossier, a test report from a recognised body, or a product data sheet.",100200232,,,,,,
276,,"Valoarea emisiilor de CO2 în condiții de rulaj mixt (Omologare conform WLTP): Valoarea emisiilor de CO2 în condiții de rulaj mixt, sunt exprimate în g/km și reprezintă cantitatea de emisii de gaze cu efect de seră, denumite generic emisii de carbon sau emisii de CO2, respectiv gazele din atmosferă care absorb și emit radiații. Existența unui echilibru între radiațiile absorbate și cele emise este un element de importanță majoră pentru climă și mediu global., Algoritm de calcul: Punctajul pentru factorul de evaluare ,,Valoarea emisiilor de CO2 în condiții de rulaj mixt” cu o valoare de 30 puncte din totalul de 100 de puncte și cu o pondere de 30% din totalul criteriului de atribuire, se vor acorda după cum urmează:

- pentru oferta admisibilă cu cea mai redusă Valoare a emisiilor de CO2 în condiții de rulaj mixt – 30 puncte;
- pentru restul ofertelor admisibile, punctajul se va calcula utilizând următoarea formula: 
P Valoarea emisiilor de CO2 în condiții de rulaj mixt (n) = Valoarea emisiilor de CO2 în condiții de rulaj mixt (min) / Valoarea emisiilor de CO2 în condiții de rulaj mixt (n)x30, unde: 
P Valoarea emisiilor de CO2 în condiții de rulaj mixt (n) : punctajul obținut de către oferta admisibilă aflată sub evaluare.
Valoarea emisiilor de CO2 în condiții de rulaj mixt (min): cea mai redusă dintre Valorile emisiilor de CO2 în condiții de rulaj mixt dintre ofertele admisibile;
Valoarea emisiilor de CO2 în condiții de rulaj mixt (n): Valoarea emisiilor de CO2 în condiții de rulaj mixt a ofertei admisibile aflate sub evaluare.
Notă: atunci când se prezintă interval (min / max), valoarea ce se va folosi la aplicarea algoritmului de calcul, este media aritmetică a valorilor ce constituie capetele intervalului.

Modalitate de îndeplinire: 
Valoarea emisiilor de CO2 în condiții de rulaj mixt care se compară, în vederea acordării punctajului, sunt cele declarate în propunerea tehnică depusă de ofertant și demonstrate prin prezentarea oricărui mijloc de probă adecvat, precum un dosar tehnic al producătorului, un raport de testare de la un organism recunoscut sau fișă tehnică de produs.","CO2 emission value under mixed driving conditions (type approval according to WLTP): The CO2 emission value under mixed driving conditions, expressed in g/km, represents the amount of greenhouse gas emissions, generically called carbon emissions or CO2 emissions, i.e., gases in the atmosphere that absorb and emit radiation. The existence of a balance between absorbed and emitted radiation is a major element of importance for climate and the global environment.

Calculation algorithm: The score for the evaluation factor ""CO2 emission value under mixed driving conditions"" with a value of 30 points out of a total of 100 points and a weight of 30% of the total award criteria will be granted as follows:

- for the admissible offer with the lowest CO2 emission value under mixed driving conditions – 30 points;
- for the remaining admissible offers, the score will be calculated using the following formula:
P CO2 emission value (n) = CO2 emission value (min) / CO2 emission value (n) × 30, where:
P CO2 emission value (n): the score obtained by the admissible offer under evaluation.
CO2 emission value (min): the lowest of the CO2 emission values among the admissible offers;
CO2 emission value (n): the CO2 emission value of the admissible offer under evaluation.
Note: when an interval (min / max) is presented, the value used in the calculation algorithm is the arithmetic mean of the interval endpoints.

Method of fulfillment:
The CO2 emission values that are compared for scoring are those declared in the technical proposal submitted by the bidder and demonstrated by any appropriate evidence, such as a manufacturer's technical dossier, a testing report from a recognized body, or a product data sheet.",100200232,,,,,,
277,,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","The price of the offer: Financial component, the score is awarded as follows: a) For the lowest of the prices the maximum allocated score is awarded; b) For the other offered prices the score P(n) is calculated proportionally, as follows: P(n) = (Lowest offered price / Price n) x maximum allocated score.",100200265,,,,,,
278,,"Factor de evaluare 2: Perioada de garanție a lucrărilor (P2): Componenta tehnica - Autoritatea contractanta acorda punctaj pentru ofertele care prezintă o perioada suplimentara de garanție a lucrărilor (pana la 120 luni) față de garanția minim acceptata a lucrărilor de 36 de luni. Perioada de garanție suplimentara a lucrărilor se va prezenta obligatoriu in număr de luni. Punctajul maxim ce poate fi acordat pentru acest factor de evaluare este de 15 puncte., Algoritm de calcul: P2 = (Gof / Gmax) x 15, unde: Gof = Garanția ofertată Gmax = Garanția maximă = 120 luni. - Ofertanții care vor oferi o perioadă de garanție a lucrărilor de 36 de luni vor primi 0 (zero) puncte. - Ofertanții care vor oferi o perioadă de garanție a lucrărilor mai mare sau egală cu 120 de luni vor primi 15 de puncte. - Oferta care prezintă o perioadă de garanție mai mică de 36 luni va fi considerată neconformă. Nota: Ofertantul își va demonstra cele declarate in oferta referitor la perioada de garanție prin specificarea materialelor si tehnologiilor pe care le la va utiliza si pe care le considera ca pot asigura calitatea necesara. Prin propunerea tehnică ofertantul va descrie modul în care planul de management al calității va asigura nivelul necesar de calitate al rezultatelor sale și al procesele de lucru, prin prezentarea abordării generale și metodologiei pentru realizarea activităților din cadrul contractului (proiectului și executarea lucrărilor), inclusiv descrieri detaliate ale metodelor de lucru pentru componentele majore ale lucrărilor precum și materialele pe care le va pune în opera, astfel încât ofertarea unei garanții extinse a lucrărilor să nu se facă doar la nivel declarativ în vederea obținerii unui punctaj mare pentru acest factor de evaluare.","Evaluation Factor 2: Warranty period of works (P2): Technical component – The contracting authority awards points to offers that present an additional warranty period for the works (up to 120 months) compared to the minimum accepted warranty period of 36 months. The additional warranty period must be presented obligatorily in number of months. The maximum score that can be awarded for this evaluation factor is 15 points. Calculation algorithm: P2 = (Gof / Gmax) x 15, where: Gof = Offered warranty Gmax = Maximum warranty = 120 months. - Bidders offering a warranty period of 36 months will receive 0 (zero) points. - Bidders offering a warranty period equal to or greater than 120 months will receive 15 points. - An offer presenting a warranty period of less than 36 months will be considered non‑conforming. Note: The bidder will demonstrate the statements in the offer regarding the warranty period by specifying the materials and technologies that will be used and that are considered capable of ensuring the necessary quality. In the technical proposal, the bidder will describe how the quality management plan will ensure the required level of quality of its results and work processes, by presenting the overall approach and methodology for carrying out the activities within the contract (project and execution of works), including detailed descriptions of work methods for the major components of the works as well as the materials to be used, so that the offering of an extended warranty is not merely declarative to obtain a high score for this evaluation factor.",100200265,,,,,,
279,,"Factor de evaluare 3:
Demonstrarea unei metodologii corespunzătoare pentru obținerea asigurării că lucrările sunt realizate la parametrii calitativi solicitați (Planul de management al calității lucrărilor executate) (P3): Componenta tehnică - Punctajul tehnic al acestui factor de evaluare va fi obținut prin acordarea notei corespunzătoare calificativului obținut de oferta respectivă.
Punctajul maxim ce poate fi acordat pentru acest factor de evaluare este de 15 puncte., Algoritm de calcul: Satisfăcător - 5 puncte:
Planul de management al calității lucrărilor executate:
i. este prezentat la modul general și nu reflectă caracteristicile specifice ale Contractului de lucrări, nefiind în totalitate corelat cu metodologia de executare a lucrărilor și procedurile tehnice de execuție;
ii. este identificat nivelul de implicare al responsabililor din structura organizațională a Ofertantului cu controlul calității lucrărilor însă nu este detaliat;
iii. indică faptul că se realizează controlul calității la toate stadiile de punere în operă a documentației;
iv. există neconcordanțe minore între graficul general de realizare a investiției publice, activitățile/etapele realizate, responsabilitățile pentru execuția/gestionarea/controlul calității si resursele.
Bine /Adecvat - 10 puncte:
Dacă, în plus la calificativul Satisfăcător, Planul de management al calității lucrărilor executate:
i. este adaptat la caracteristicile specifice ale contractului de lucrări și corelat cu metodologia de executare a lucrărilor și procedurile tehnice de execuție;
ii. evidențiază adecvat nivelul de implicare al responsabililor din structura organizațională a Ofertantului și contribuția individuală pentru realizarea controlului calității;
iii. relația dintre graficul general de realizare a investiției publice/etapele realizate, responsabilitățile pentru execuția/gestionarea/controlul calității și resursele utilizate este realistă și în conformitate cu metodologia propusă;
iv. are un nivel de detaliere adecvat: facilitează înțelegerea propusă pentru managementul calității în contract la toate stadiile de punere în operă a documentației.
Foarte bine - 15 puncte:
Planul de management al calității lucrărilor executate:
i. În plus față de informațiile enumerate mai sus, în cadrul calificativului ""Bine""/""adecvat"", activitățile/etapele realizate, responsabilitățile pentru execuția/gestionarea/controlul calității și resursele utilizate sunt foarte bine definite, Ofertantul demonstrând optimizarea resurselor;
ii. nivelul și modalitatea de implicare a responsabililor în realizarea controlului calității sunt realiste și foarte clar definite.
Cerințele minime pentru acest factor de evaluare se regăsesc în Caietul de sarcini.
Oferta care nu indeplineste cerințele minime solicitate pentru acest factor de evaluare va fi considerată neconformă.
Oferta care indeplineste pentru acest factor de evaluare strict cerințele minime din Caietul de sarcini va fi considerată conformă dar nu va primi punctaj.","Evaluation factor 3:
Demonstration of an appropriate methodology to ensure that the works are carried out according to the required quality parameters (Quality Management Plan for the executed works) (P3): Technical component – the technical score for this evaluation factor will be obtained by awarding the grade corresponding to the qualification obtained by the respective offer.
The maximum score that can be awarded for this factor is 15 points. Scoring algorithm:
Satisfactory – 5 points:
Quality Management Plan for the executed works:
1. is presented in a general manner and does not reflect the specific characteristics of the Works Contract, not being fully aligned with the execution methodology and technical execution procedures;
2. identifies the level of involvement of the persons responsible within the bidder’s organisational structure for quality control of the works, but it is not detailed;
3. indicates that quality control is carried out at all stages of the documentation implementation;
4. shows minor inconsistencies between the overall schedule of the public investment, the activities/phases carried out, the responsibilities for execution/management/quality control and the resources.
Good / Adequate – 10 points:
In addition to the Satisfactory qualification, the Quality Management Plan for the executed works:
1. is adapted to the specific characteristics of the works contract and is correlated with the execution methodology and technical procedures;
2. adequately highlights the level of involvement of the responsible persons in the bidder’s organisational structure and their individual contribution to quality control;
3. the relationship between the overall schedule of the public investment/phases carried out, the responsibilities for execution/management/quality control and the resources used is realistic and in line with the proposed methodology;
4. provides an adequate level of detail that facilitates understanding of the proposed quality management throughout all stages of documentation implementation.
Very Good – 15 points:
Quality Management Plan for the executed works:
1. In addition to the information listed above (the ""Good""/""Adequate"" qualification), the activities/phases carried out, the responsibilities for execution/management/quality control and the resources used are very well defined, showing optimisation of resources by the bidder;
2. the level and manner of involvement of the responsible persons in quality control are realistic and very clearly defined.
The minimum requirements for this evaluation factor are found in the Terms of Reference.
An offer that does not meet the minimum required for this factor will be considered non‑conforming.
An offer that meets only the strict minimum requirements from the Terms of Reference will be considered conforming but will not receive any points.",100200265,,,,,,
280,,"Factor de evaluare 4: Emisii de CO2/Schimbări climatice – Materiale sustenabile pentru construcții (P4): Componenta tehnica - În contextul actual, marcat de schimbările climatice și de nevoia de sustenabilitate, industria construcțiilor se confruntă cu provocarea de a reduce amprenta de carbon. Materialele de construcție sustenabile și tehnicile de construcție care reduc emisiile de CO2 nu contribuie doar la protecția mediului, ci oferă și beneficii pe termen lung prin eficiența energetică și reducerea costurilor de operare. Emisii zero nete de CO2 până în 2050: aceasta ambiție, propusă de Uniunea Europeană și de 191 de state încă de la Acordul de la Paris din 2015, impune companiilor din domeniul construcțiilor - unul dintre sectoarele cu cele mai mari emisii de carbon - să vină cu soluții noi. Punctajul maxim ce poate fi acordat pentru acest factor de evaluare este de 10 puncte. Algoritm de calcul: Conform criteriilor UE privind achizițiile publice ecologice pentru proiectarea, construcția și întreținerea drumurilor, se va acorda punctaj maxim (10 puncte) ofertanților în cazul cărora un procent de cel puțin 5% din totalul principalelor elemente rutiere enumerate mai jos reprezintă, ca greutate, materiale sustenabile și /sau subproduse:
• stratul de formă
Materialele sustenabile reprezintă materialele realizate din materii prime provenite din resurse sustenabile și / sau reciclate și/sau regenerabile care protejează mediul și reduc amprenta de carbon, materiale pentru care există autorizare / acreditare / agremente și / sau alte documente echivalente conform legislației în vigoare.

Cerinta privind factorul de evaluare se referă la partea superioară a terasamentelor, respectiv stratul de forma din pământ stabilizat cu lianti hidraulici/ciment.
Cerinta este îndeplinită pentru startul de forma, dacă ofertanții fac dovada că producătorul a adoptat măsuri de reducere a emisiilor de CO2 în procesul de fabricație a liantilor hidraulici/ciment sustenabil. Pentru demonstrarea acestei cerințe ofertantul va prezenta din partea producătorului documente doveditoare (certificări de mediu/declaratii de conformitate, etc.)","Evaluation factor 4: CO2 emissions / Climate change – Sustainable construction materials (P4): Technical component – In the current context marked by climate change and the need for sustainability, the construction industry faces the challenge of reducing its carbon footprint. Sustainable construction materials and construction techniques that reduce CO2 emissions not only protect the environment but also provide long‑term benefits through energy efficiency and lower operating costs.
Net‑zero CO2 emissions by 2050: this ambition, proposed by the European Union and 191 states since the Paris Agreement of 2015, requires construction companies – one of the sectors with the highest carbon emissions – to develop new solutions. The maximum score that can be awarded for this evaluation factor is 10 points.
Calculation algorithm: According to EU green public procurement criteria for the design, construction and maintenance of roads, the maximum score (10 points) will be granted to bidders whose proposals contain at least 5% by weight of the main road elements listed below that are sustainable materials and/or by‑products:
• the sub‑base layer
Sustainable materials are those made from raw materials sourced from sustainable and/or recycled and/or renewable resources that protect the environment and reduce the carbon footprint, and for which there is authorization / accreditation / agreements and/or equivalent documentation according to current legislation.

The requirement concerning the evaluation factor refers to the upper part of the embankments, specifically the sub‑base layer made of soil stabilised with hydraulic binders/cement.
The requirement is considered met for the sub‑base start if the bidders demonstrate that the producer has adopted measures to reduce CO2 emissions in the manufacturing process of sustainable hydraulic binders/cement. To demonstrate this requirement, the bidder must provide supporting documents from the producer (environmental certifications/compliance declarations, etc.).",100200265,,,,,,
281,,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component, the score is awarded as follows: a) The lowest price receives the maximum allocated score; b) For the other offered prices the score P(n) is calculated proportionally as: P(n) = (Minimum offered price / Price n) x maximum allocated score.",100200296,,,,,,
282,,"GARANŢIA EXTINSĂ A AUTOBUZELOR ELECTRICE: Componentă tehnică.
Garanţia obligatorie pentru toate autobuzele electrice ofertate este de minim 5 ani sau minim 350.000 km, luându-se în considerare un parcurs mediu anual de 70.000 km.
Numărul minim de ani / km de garanţie extinsă pentru toate autobuzele electrice ofertate, care va fi punctat, este cu 1 an sau cu 70.000 km suplimentar perioadei de garanţie obligatorie, iar numărul maxim este cu 5 ani sau cu 350.000 km suplimentar garanţiei minime obligatorii.
Pentru o garanţie autobuzelor electrice mai mică de 5 ani sau de 350.000 km, oferta va fi declarată neconformă. Pentru o garanţie extinsă, mai mare cu 5 ani sau cu 350.000 km faţă de cea minimă obligatorie, oferta nu se va puncta suplimentar. Document justificativ: Declaraţia angajament pe proprie răspundere a ofertantului privind perioada de garanţie acordată autobuzelor electrice ofertate, conform informaţiilor din sub-capitolul III.10 al Caietului de sarcini, a) Pentru cea mai mare garanţie suplimentară a tuturor autobuzelor electrice ofertate, dar care nu poate depăşi +5 ani / +350.000 km faţă de garanţia minimă solicitată de 5 ani / 350.000 km, se acordă punctajul maxim alocat factorului de evaluare (20 puncte). 
b) Pentru altă garanţie suplimentară a tuturor autobuzelor electrice ofertate,  mai mică decât cea mai mare ofertată, dar care nu poate fi mai mică de +1 an / +70.000 km faţă de garanţia minimă solicitată de 5 ani / 350.000 km, punctajul se aplică utilizând formula: Punctaj garanţie extinsă (n) = (garanţie extinsă n / garanţie extinsă maximă) x punctaj maxim alocat","EXTENDED WARRANTY FOR ELECTRIC BUSES: Technical component.
The mandatory warranty for all offered electric buses is at least 5 years or at least 350,000 km, taking into account an average annual mileage of 70,000 km.
The minimum number of years/km of extended warranty for all offered electric buses, which will be scored, is 1 year or 70,000 km additional to the mandatory warranty period, and the maximum is 5 years or 350,000 km additional to the minimum mandatory warranty.
For a warranty of electric buses less than 5 years or 350,000 km, the offer will be declared non‑conforming. For an extended warranty greater than 5 years or 350,000 km compared to the minimum mandatory warranty, the offer will not receive additional points.
Supporting document: the bidder's self‑declaration of commitment regarding the warranty period granted to the offered electric buses, according to the information in sub‑chapter III.10 of the specifications.
a) For the greatest additional warranty of all offered electric buses, which cannot exceed +5 years / +350,000 km beyond the minimum required warranty of 5 years / 350,000 km, the maximum score allocated to the evaluation factor (20 points) is awarded.
 b) For any other additional warranty of all offered electric buses, smaller than the greatest offered, but not less than +1 year / +70,000 km beyond the minimum warranty of 5 years / 350,000 km, the score is applied using the formula: Extended warranty score (n) = (extended warranty n / maximum extended warranty) × maximum allocated score.",100200296,,,,,,
283,,"AUTONOMIA AUTOBUZELOR ELECTRICE: Componentă tehnică.
Autonomia (km) este un indicator de performanţă definitoriu al vehiculului electric, performanţa acestuia fiind cu atât mai ridicată, cu cât autonomia este mai mare. Autonomia reprezintă distanţa în km, parcursă cu o încărcare completă, la 100% a capacităţii bateriilor. Autonomia minimă admisă pentru toate autobuzele ofertate va fi de 180 km, conform testului E-SORT 1. Pentru o autonomie mai mică de 180 km, oferta va fi declarată neconformă.
Documente justificative: Declaraţia ofertantului privind autonomia autobuzelor ofertate (nr. de km parcurşi cu o încărcare completă la 100% a bateriilor), însoţită de o copie a testului E-SORT 1 sau de orice alt mijloc de probă, precum certificate de conformitate, fişă tehnică /un dosar tehnic al producătorului sau un raport de testare emis un organism acreditat, însoţite de traduceri autorizate în limba română, din care să reiasă autonomia declarată., a) Pentru cea mai mare autonomie (km) a tuturor autobuzele electrice ofertate, în baza testului E-SORT 1, se acordă punctajul maxim alocat factorului de evaluare (20 puncte). 
b) Pentru altă autonomie (km) a tuturor autobuzelor electrice ofertate,  mai mică decât cea mai mare ofertată, dar care nu poate fi mai mică de 180 km, în baza testului E-SORT 1, punctajul se aplică utilizând formula: Punctaj autonomie (n) = (autonomie n / autonomie maximă) x punctaj maxim alocat","ELECTRIC BUS AUTONOMY: Technical component.
Autonomy (km) is a defining performance indicator of the electric vehicle, with higher performance the greater the autonomy. Autonomy represents the distance in kilometres that can be travelled on a full charge, i.e., at 100% battery capacity. The minimum admissible autonomy for all offered buses shall be 180 km, according to the E‑SORT 1 test. Any offer with autonomy below 180 km will be declared non‑conforming.
Supporting documents: the bidder’s declaration of the offered buses’ autonomy (number of km travelled on a full 100% charge), accompanied by a copy of the E‑SORT 1 test or any other evidence such as conformity certificates, technical data sheet/technical dossier from the manufacturer, or a testing report issued by an accredited body, together with authorized Romanian translations showing the declared autonomy.
a) For the greatest autonomy (km) among all offered electric buses, based on the E‑SORT 1 test, the maximum score allocated to the evaluation factor (20 points) is awarded.
b) For a lower autonomy (km) among the offered electric buses, but not lower than 180 km, based on the E‑SORT 1 test, the score is calculated using the formula: Autonomy score (n) = (autonomy n / maximum autonomy) × maximum allocated score.",100200296,,,,,,
284,,"CAPACITATEA BATERIILOR AUTOBUZELOR ELECTRICE: Componentă tehnică.
Capacitatea totală a bateriilor de tracţiune (kWh) este un indicator de performanţă al vehiculului electric, performanţa acestuia fiind cu atât mai ridicată, cu cât capacitatea / puterea bateriilor este mai mare. Capacitatea bateriilor minimă admisă pentru toate autobuzele ofertate va fi de 200 kWh. Pentru o capacitate a bateriilor mai mică de 200 kWh, oferta va fi declarată neconformă.
Documente justificative: Declaraţia ofertantului privind capacitatea totală a bateriilor de tracţiune ale autobuzelor ofertate (kWh), însoţită de orice mijloc de probă, precum certificate de conformitate, fișă tehnică / dosar tehnic / declaraţie a producătorului, însoţite de traduceri autorizate în limba română, din care să reiasă capacitatea declarată. Ofertantul se va asigura că documentele tehnice din care reiese capacitatea declarată sunt aferente configuraţiei ofertate. Lipsa doc.justificative, însoţite de traduceri autorizate în lb. română, conduc la neacordarea punctajului., a) Pentru cea mai mare capacitate a bateriilor (kWh) a tuturor autobuzele electrice ofertate, se acordă punctajul maxim alocat factorului de evaluare (20 puncte). 
b) Pentru altă capacitate a bateriilor (kWh) a tuturor autobuzelor electrice ofertate,  mai mică decât cea mai mare ofertată, dar care nu poate fi mai mică de 200 kWh, punctajul se aplică utilizând formula: Punctaj capacitate baterii (n) = (capacitate n / capacitate maximă) x punctaj maxim alocat

Punctajul pentru fiecare factor de evaluare se va rotunji la 2 zecimale.
Punctaj Total (n) = Punctaj preţ (n) + Punctaj garanţie extinsă (n) + Punctaj autonomie (n) + Punctaj capacitate baterii (n) 
În situatia în care două sau mai multe oferte au punctaje egale, autoritatea contractantă are dreptul să solicite noi propuneri financiare şi oferta câştigătoare va fi desemnată cea cu propunerea financiară cea mai mică.","BATTERY CAPACITY OF ELECTRIC BUSES: Technical component.
The total traction battery capacity (kWh) is a performance indicator of the electric vehicle; its performance is higher the larger the battery capacity/power. The minimum admissible battery capacity for all offered buses shall be 200 kWh. Offers with battery capacity below 200 kWh will be declared non‑conforming.
Supporting documents: The bidder's declaration regarding the total traction battery capacity of the offered buses (kWh), accompanied by any evidence such as conformity certificates, technical data sheet/technical dossier/manufacturer's declaration, together with authorized translations into Romanian, showing the declared capacity. The bidder must ensure that the technical documents reflecting the declared capacity correspond to the offered configuration. Lack of supporting documents with authorized Romanian translations will result in no score being awarded.
a) For the highest battery capacity (kWh) among all offered electric buses, the maximum score allocated to the evaluation factor (20 points) is awarded.
 b) For any lower battery capacity (kWh) among the offered electric buses, provided it is not less than 200 kWh, the score is calculated using the formula: Battery capacity score (n) = (capacity n / maximum capacity) × maximum allocated score.

The score for each evaluation factor shall be rounded to two decimal places.
Total Score (n) = Price score (n) + Extended warranty score (n) + Autonomy score (n) + Battery capacity score (n).
In cases where two or more offers receive equal scores, the contracting authority may request new financial proposals, and the winning offer will be the one with the lowest financial proposal.",100200296,,,,,,
285,,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component, Points are awarded as follows: a) For the lowest among the prices, the maximum allocated points are awarded; b) For the other offered prices, the points P(n) are calculated proportionally, as follows: P(n) = (Lowest offered price / Price n) x maximum allocated points.",100200311,,,,,,
286,,"2.   Criterii de performanta: Criteriul de performanta, Se puncteaza numai caracteristicile tehnice inscrise in tabelul de mai jos.
Pentru fiecare caracteristica punctata, diferenta cea mai mare (in valoare absoluta) dintre valoarea parametrului tehnic oferit si valoarea minima solicitata a parametrului, respectiv specificatiei din caietul de sarcini (notat cu Tmax) se acorda punctajul maxim alocat pentru factorul de evaluare, respectiv Pmax.
Pentru alta valoare (absoluta) a diferentei dintre valoarea parametrului tehnic oferit si valoarea minima solicitata a parametrului respectiv specificatiei din caietul de sarcini (notat cu Tn) se acorda un puntaj Pn calculat astfel:
Pn = (Tn / Tmax) x Pmax
Unde:
Tn = | Valoarea ofertata – Valoarea solicitata |
Tmax = | Valoarea cea mai buna oferita – Valoarea solicitata |
Pmax = nr de puncte alocat respectivei cerinte tehnice","Performance criteria: Only the technical characteristics listed in the table below are scored.
For each scored characteristic, the largest absolute difference between the offered technical parameter value and the minimum required value of the parameter (or specification in the tender documents, denoted as Tmax) receives the maximum points allocated for that evaluation factor, i.e., Pmax.
For any other absolute difference between the offered technical parameter value and the minimum required value of the parameter (or specification in the tender documents, denoted as Tn), a score Pn is awarded, calculated as:
Pn = (Tn / Tmax) × Pmax
Where:
Tn = | Offered value – Required value |
Tmax = | Best offered value – Required value |
Pmax = number of points allocated to the respective technical requirement",100200311,,,,,,
