,match,criteria from actual contract in original Romanina,criteria from actural contract translated in English,id,criteria_from_actual_contract_in_original_romanian,criteria_from_actual_contract_translated_in_english,criteria_from_actual_contract_in_original_Romanian
163,No match,,,100198098,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. Points are awarded as follows: a) The lowest price receives the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (Lowest offered price / Price n) × maximum allocated score.",
164,no match,,,100198098,"Sincronizare cu surse de referință externe: Utilizarea mai multor surse diferite, asigură o redundanță și o precizie sporită a sincronizării timpului, reducând riscul de erori și întreruperi. Astfel este esențial ca serverul de timp să se sincronizeze cu surse de referință externe multiple, acceptând suplimentar:
-   Ceasul de cesiu 5071A (HP, Aglient, Symmetricm, Microsemi, Microchip) cu funcție nativă de descărcare a informațiilor de dată și oră UTC direct prin portul RS232 de pe dispozitiv. Aceasta asigură o sincronizare precisă și continuă a timpului pentru aplicațiilor critice, reducând riscul de erori și întreruperi.
-   Generatorul de fază și frecvență HROG-10 cu suport nativ pentru intervale de timp descărcate direct de pe dispozitivul HROG-10. Acesta permite ajustări flexibile și precise ale fazei și frecvenței, asigurând securitate sporită împotriva vulnerabilităților.
Punctajul se acordă în raport cu cerința C5.
Ofertele care nu respectă cerința min C5 din Anexa nr. 1 la  Caietul de sarcini vor fi declarate neconforme., Elementul Pfact2oferta analizata se va determina utilizând următoarea formulă de calcul:
Dacă dispozitivul server de timp, suplimentar față de condițiile minime de sincronizare cu surse de referință externe decrise în cerința C5, oferă suport pentru: 
-   Ceasul de cesiu 5071A (HP, Aglient, Symmetricm, Microsemi, Microchip) cu funcție nativă de descărcare a informațiilor de dată și oră UTC direct prin portul RS232 de pe dispozitiv;
-   Generatorul de fază și frecvență HROG-10 cu suport nativ pentru intervale de timp descărcate direct de pe dispozitivul HROG-10,
se vor acorda 20 de puncte.
Dacă dispozitivul server de timp respectă condițiile minime de sincronizare cu surse de referință externe descrise în cerința C5 se vor acorda 0 puncte.

20 – punctaj maxim acordat.

Punctaj ofertă analizată = Ppreț ofertă analizată + PFact1ofeta analizata + PFact2ofeta analizata Punctajele factorilor de evaluare se stabilesc cu maxim 2 zecimale. Dacă a treia zecimală este egală sau peste 5, rotunjirea se face în sens pozitiv, iar dacă a treia zecimală este sub 5 atunci rotunjirea se face în sens negativ. Punctajul maxim total care poate fi obținut de către ofertant: 100 puncte","Synchronization with external reference sources: Using multiple different sources ensures redundancy and increased accuracy of time synchronization, reducing the risk of errors and interruptions. Thus, it is essential that the time server synchronizes with multiple external reference sources, additionally accepting:
- The 5071A cesium clock (HP, Agilent, Symmetricom, Microsemi, Microchip) with a native function for downloading UTC date and time information directly via the device’s RS232 port. This ensures precise and continuous time synchronization for critical applications, reducing the risk of errors and interruptions.
- The HROG-10 phase and frequency generator with native support for time intervals downloaded directly from the HROG-10 device. This allows flexible and precise phase and frequency adjustments, ensuring increased security against vulnerabilities.
Scoring is awarded in relation to requirement C5.
Offers that do not meet the minimum requirement C5 in Annex no. 1 to the Specifications will be declared non-compliant. The element PFact2 of the analyzed offer will be determined using the following calculation formula:
If the time server device, in addition to the minimum conditions for synchronization with external reference sources described in requirement C5, provides support for:
- The 5071A cesium clock (HP, Agilent, Symmetricom, Microsemi, Microchip) with a native function for downloading UTC date and time information directly via the device’s RS232 port;
- The HROG-10 phase and frequency generator with native support for time intervals downloaded directly from the HROG-10 device,
20 points will be awarded.
If the time server device meets the minimum conditions for synchronization with external reference sources described in requirement C5, 0 points will be awarded.

20 – maximum score awarded.

Analyzed offer score = Price score of the analyzed offer + PFact1 of the analyzed offer + PFact2 of the analyzed offer. The scores of the evaluation factors are set with up to 2 decimals. If the third decimal is equal to or greater than 5, rounding is done upward, and if the third decimal is below 5, rounding is done downward. The maximum total score that can be obtained by the bidder: 100 points.",
165,No match,,,100198101,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. The scoring is awarded as follows: a) The lowest price is awarded the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (Lowest offered price / Price n) x maximum allocated score.",
166,None,,,100198101,"Termen de livrare: Termen de livrare, Punctajul se acordă astfel: 
a) pentru termen de livrare de 10 calendaristice de la data emiterii notei de comandă, se acordă punctajul maxim alocat factorului de evaluare, respectiv (20 puncte), pentru un termen mai mic de 10 zile nu se acordă punctaj suplimentar;
b) pentru un termen mai mare de 10 de zile, dar nu mai mare de 44 de zile calendaristice de la data emiterii notei de comandă, punctajul se determină cu formula: Punctaj (termen n) = (termen minim / termen n) x punctaj maxim alocat;
c) pentru un termen de livrare de 45 de zile calendaristice de la data emiterii notei de comandă, oferta este considerată conformă dar nu se va primi punctaj;
d) Pentru un termen mai mare de 45 de zile calendaristice oferta va fi declarată neconformă.","Delivery time: Points are awarded as follows:
a) for a delivery time of 10 calendar days from the date the purchase order is issued, the maximum score allocated to the evaluation factor is awarded (20 points); for a term shorter than 10 days no additional points are awarded;
b) for a term longer than 10 days but not more than 44 calendar days from the date the purchase order is issued, the score is determined using the formula: Score (term n) = (minimum term / term n) × maximum allocated score;
c) for a delivery time of 45 calendar days from the date the purchase order is issued, the offer is considered compliant but no points will be awarded;
d) for a term longer than 45 calendar days, the offer will be declared non-compliant.",
167,no match,"Autonomie electrică reală conform WLTP [km]: Autonomie electrică reală conform WLTP [km], Punctajul se acordă astfel:
a) Pentru cea mai mare Autonomie electrică ofertată (peste valoarea minimă de 220 km solicitată prin CS) se acorda punctajul maxim de 20 puncte;
b) Pentru o alta autonomie ofertata punctajul se acorda astfel A(n)=(An/Amax) x punctaj maxim alocat;

*Notă:
- oferta care nu cuprinde o autonomie extinsa suplimentară peste valoarea minimă de 220km solicitată prin CS este considerata conformă dar nu va primi punctaj;
- oferta cu o autonomie mai mica decat cea solicitata prin CS va fi declarata neconforma.
Modalitatea de verificare - Va fi acceptat orice mijloc de probă adecvat, precum certificate de conformitate, fişa tehnică /un dosar tehnic al producătorului sau un raport de testare de la un organism recunoscut.","Actual electric range according to WLTP [km]: Actual electric range according to WLTP [km]. The scoring is awarded as follows:
a) For the highest electric range offered (above the minimum value of 220 km requested in the Specifications (CS)), the maximum score of 20 points is awarded;
b) For any other offered range, the score is awarded as follows: A(n) = (An / Amax) × maximum allocated score;

Note:
- an offer that does not include an extended range beyond the minimum value of 220 km requested in the Specifications (CS) is considered compliant but will not receive any score;
- an offer with a range lower than that requested in the Specifications (CS) will be declared non-compliant.
Verification method – Any appropriate means of proof will be accepted, such as certificates of conformity, the technical sheet/a technical dossier of the manufacturer, or a test report from a recognized body.",100198101,,,
168,,"Garanţia extinsă pentru autovehiculele ofertate: Garanţia extinsă pentru autovehiculele ofertate, Punctajul se acordă astfel:
a) pentru 1 an de garanție extinsă (garanție în plus față de garanția minimală prevăzută în CS de 2 ani) pentru autovehiculele ofertate se acordă 10 puncte,
b) pentru 2 ani de garanție extinsă (garanție în plus față de garanția minimală prevăzută în CS de 2 ani) se acordă 15 puncte,
c) pentru 3 ani de garanție extinsă (garanție în plus față de garanția minimală prevăzută în CS de 2 ani) se acordă 20 puncte.
d) Sub termenul minim de garanție de 2 ani, oferta va fi declarată neconformă.

*Notă:
- se pot oferta mai mult de 3 ani de garanție extinsă dar punctajul maxim nu va depăsi 20 puncte;
- toate garanțiile se vor citi în „sau 100.000 km”
Modalitatea de verificare - Declaraţie pe proprie răspundere a ofertantului / certificate de conformitate / fişa tehnică.","Extended warranty for the vehicles offered: Points will be awarded as follows:
a) for 1 year of extended warranty (a warranty in addition to the minimum 2-year warranty stipulated in the Specifications (CS)) for the vehicles offered, 10 points will be awarded,
b) for 2 years of extended warranty (a warranty in addition to the minimum 2-year warranty stipulated in the CS), 15 points will be awarded,
c) for 3 years of extended warranty (a warranty in addition to the minimum 2-year warranty stipulated in the CS), 20 points will be awarded.
d) For a warranty term below the minimum of 2 years, the bid will be declared non-compliant.

Note:
- more than 3 years of extended warranty may be offered, but the maximum score will not exceed 20 points;
- all warranties shall be interpreted as “or 100,000 km”.
Verification method – Bidder’s self-declaration / certificates of conformity / technical data sheet.",100198101,,,
169,No match,,,100198104,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. Points are awarded as follows: a) The lowest price is awarded the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (Lowest offered price / Price n) × maximum allocated score.",
170,No match,,,100198104,"Garantia acordata produsului: Componenta tehnica, - pentru 12 luni se puncteaza cu 10 puncte
- pentru 24 luni se puncteaza cu 15 puncte
Ofertele care prezinta o periada de garantie de 1 an vor fi punctate cu 10 puncte, iar cele cu o perioada de garantie sub 1 an vor fi declarate neconforme.
Perioada de garantie va fi exprimata in ani.
Ofertele ce prezinta valorile minime impuse prin caietul de sarcini vor fi declarate conforme.","Product warranty: Technical component:
- for 12 months, 10 points are awarded
- for 24 months, 15 points are awarded
Offers that present a warranty period of 1 year will be scored with 10 points, while those with a warranty period below 1 year will be declared non-compliant.
The warranty period shall be expressed in years.
Offers that present the minimum values imposed by the tender specifications will be declared compliant.",
171,No match,,,100198104,"Termenul de livrare al produsului  (calculat in zile calendaristice, de la semnarea contractului): Componenta tehnica, -Pentru oferta cu cel mai mic termen de livrare se va acorda punctajul maxim alocat - 35 puncte
-Pentru celelalte oferte, punctajul se acorda astfel:
P (TL) = (TL ninim / TL (n)) x punctajul maxim acordat (35 puncte), unde
TL minim - cel mai mic termen de livrare ofertat;
TL (n) - termenul de livrare ofertat de operatorul economic pentru cae se calculeaza punctajul;
Termenul de livrare maxim acceptat de beneficiar este de 30 zile calendaristice de la semnarea contractului de catre ambele parti.
Daca termenul de livrare minim ofertat este mai mic de 10 zile calendaristice de la semnarea contractului, atunci la algoritm se  va lua in calcul doar valoarea de 10 zile.
Ofertele cu termen de livrare mai mare de 30 zile calendaristice de la semnarea contractului de catre ambele parti, vor fi considerate oferte neconforme, iar ofertele cu termen de livrare mai mic de 10 zile calendaristice de la semnarea contractului nu vor fi punctate suplimentar.
Pentru un termen de livrare mai mare de 30 zile calendaristice de la semnarea contractului de catre ambele parti, oferta va fi punctata cu 0 puncte.
Termenul de livrare va fi ofertat in zile calendaristice.
Ofertele ce prezinta valorile minime impuse prin caietul de sarcini vor fi declarate conforme.","Product delivery time (calculated in calendar days from the signing of the contract): Technical component
- For the offer with the shortest delivery time, the maximum allocated score will be awarded – 35 points.
- For the other offers, the score is awarded as follows:
P (TL) = (TL minimum / TL (n)) × maximum allocated score (35 points), where
TL minimum – the shortest offered delivery time;
TL (n) – the delivery time offered by the economic operator for which the score is calculated;
The maximum delivery time accepted by the beneficiary is 30 calendar days from the signing of the contract by both parties.
If the minimum offered delivery time is less than 10 calendar days from the signing of the contract, then the algorithm will take into account only the value of 10 days.
Offers with a delivery time greater than 30 calendar days from the signing of the contract by both parties will be considered non-compliant, and offers with a delivery time less than 10 calendar days from the signing of the contract will not be additionally scored.
For a delivery time greater than 30 calendar days from the signing of the contract by both parties, the offer will be scored with 0 points.
The delivery time must be offered in calendar days.
Offers that present the minimum values imposed by the specifications will be declared compliant.",
172,No match,,,100198133,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: financial component. Scoring is awarded as follows: a) The lowest price receives the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally as follows: P(n) = (lowest offered price / price n) × maximum allocated score.",
173,No match,,,100198133,"Perioada de garanție extinsă: Componenta tehnică, Garanția se referă la produs in integritatea sa (componente mecanice, electrice, caroserie, echipamente).
Ofertele care cuprind o perioada de garanție sub 2 ani  vor fi considerate neconforme.
Pentru ofertele cu garanția minimă acceptată de 2 ani de la data recepției fără obiecții, punctajul se calculează astfel: 
- 0 puncte pentru garanția de 2 ani; 
- 10 puncte pentru extinderea duratei de garanție de la 2 ani la 3 ani, respectiv pentru un an de extra-garanție;
- 20  puncte pentru extinderea duratei de garanție de la 2 ani la 4 ani, respectiv pentru doi ani de extra-garanție.
- 30  puncte pentru extinderea duratei de garanție de la 2 ani la 5 ani, respectiv pentru trei ani de extra-garanție. 
- 40 puncte pentru extinderea duratei de garanție de la 2 ani la 6 ani sau mai mulți ani, respectiv pentru patru  ani sau mai mulți ani de extra-garanție. 
Operatorii economici trebuie să detalieze condițiile de garanție în propunerea tehnică.","Extended warranty period: Technical component. The warranty refers to the product in its entirety (mechanical, electrical components, bodywork, equipment).
Offers that include a warranty period of less than 2 years will be considered non-compliant.
For offers with the minimum accepted warranty of 2 years from the date of acceptance without objections, the scoring is calculated as follows:
- 0 points for a 2-year warranty;
- 10 points for extending the warranty period from 2 years to 3 years, i.e., for one additional year of warranty;
- 20 points for extending the warranty period from 2 years to 4 years, i.e., for two additional years of warranty.
- 30 points for extending the warranty period from 2 years to 5 years, i.e., for three additional years of warranty.
- 40 points for extending the warranty period from 2 years to 6 years or more years, i.e., for four or more additional years of warranty.
Economic operators must detail the warranty conditions in the technical proposal.",
174,no match,,,100198133,"Volum compartiment pentru bagaje de cală: Componenta tehnică, Ofertele care cuprind  un volum compartiment pentru bagaje de cală sub 8,7 m3 vor fi considerate neconforme.
Pentru ofertele cu un volum compartiment pentru bagaje de cală de 8,7 m3 punctajul se calculează astfel:
- 0 puncte  pentru volum compartiment pentru bagaje de cală  8,7 m3;
- 10 puncte pentru volum compartiment pentru bagaje de cală  mai mare de   8,70 m³ și mai mic sau egal  de 8,79 m³;
- 15 puncte pentru volum compartiment pentru bagaje de cală  mai mare sau egal de  8,80m³ și mai mic sau egal  de 8,99 m³;
- 20 puncte pentru volum compartiment pentru bagaje de cală  mai mare sau egal  de  9,00 m³.
Documentele justificative: fișa tehnică a autocarului, desen tehnic certificat de producător. Volumul indicat trebuie să corespundă cu datele din CoC (Certificate of Conformity) sau documentația tehnică emisă de producător.","Baggage hold compartment volume: Technical component. Offers that include a baggage hold compartment volume below 8.7 m3 will be considered non-compliant.
For offers with a baggage hold compartment volume of 8.7 m3, the score is calculated as follows:
- 0 points for a baggage hold compartment volume of 8.7 m3;
- 10 points for a baggage hold compartment volume greater than 8.70 m3 and less than or equal to 8.79 m3;
- 15 points for a baggage hold compartment volume greater than or equal to 8.80 m3 and less than or equal to 8.99 m3;
- 20 points for a baggage hold compartment volume greater than or equal to 9.00 m3.
Supporting documents: the coach’s technical datasheet and a technical drawing certified by the manufacturer. The indicated volume must correspond to the data in the CoC (Certificate of Conformity) or the technical documentation issued by the manufacturer.",
175,No match,,,100198139,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. The scoring is awarded as follows: a) The lowest of the prices is awarded the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally as follows: P(n) = (Lowest offered price / Price n) x maximum allocated score.",
176,No match,,,100198139,"Extindere perioada garanție: Durata minima a garantiei de buna executie este de 3 ani.Pentru o durata a garantiei mai mica decat durata minim acceptata de 3 ani, oferta va fi declarata neconforma.
Extinderea duratei de garantie se face cu adaugarea unui an intreg (ex:3 ani + 1 an=4 ani, 3 ani + 2 ani = 5 ani), Algoritm de calcul: 
Punctajul pentru Garantia extinsa a produselor se acorda astfel:
0 (zero) puncte pentru garantia minima de 3 ani;
5 (cinci) puncte pentru extinderea duratei de garantie de la 3 ani la 4 ani, respectiv pentru un an de extra-garantie;
10 (zece) puncte pentru extinderea duratei de garantie de la 3 ani la 5 ani, respectiv pentru doi ani de extra-garantie ;
Nu se acorda punctaj intermediar pentru intervale mai mici de 12 luni. Pentru ofertele care aloca o garantie a produselor peste 5 ani se va acorda punctajul maxim alocat de 10 puncte.","Extension of the warranty period: The minimum duration of the performance warranty is 3 years. For a warranty duration shorter than the minimum accepted duration of 3 years, the offer will be declared non-compliant.
The extension of the warranty duration is done by adding whole years (e.g., 3 years + 1 year = 4 years, 3 years + 2 years = 5 years). Calculation algorithm:
The score for the extended warranty of the products is awarded as follows:
0 (zero) points for the minimum warranty of 3 years;
5 (five) points for extending the warranty duration from 3 years to 4 years, i.e., for one extra year of warranty;
10 (ten) points for extending the warranty duration from 3 years to 5 years, i.e., for two extra years of warranty;
No intermediate scores are awarded for intervals shorter than 12 months. For offers that provide a product warranty exceeding 5 years, the maximum score of 10 points will be awarded.",
177,none,,,100198146,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. The score is awarded as follows: a) For the lowest price, the maximum allocated score is awarded; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (Lowest offered price / Price n) × maximum allocated score.",
178,no_match,,,100198146,"Experiența Coordonatorului de contract: Acesta trebuie să fie o persoană cu rol de coordonare a activității economice specifice, aflat în relație directă cu obiectul contractului ce urmează a fi atribuit. Acesta trebuie să fie o persoană care a fost implicată în derularea altor contracte cu obiect de activitate de o complexitate asemanatoare cu cel al al prezentei proceduri.
In acest sens, experiența managerului de contract este un element important in derularea Contractului de servicii., Pentru 1 contract se acorda 1 punct;
Pentru 2-4 contracte se acorda 5 puncte;
Pentru 5 sau mai multe contracte se acorda 10 puncte.
Observatii: Pentru demonstrarea experienței coordonatorului de contract, Ofertantul va depune, odată cu oferta, Contracte/ Secțiuni din Contracte din care să reieasă obiectul contractului și partea pentru care Coordonatorul de Contract a fost responsabil în realizarea acestuia, precum și relația dintre persoana nominalizată și Ofertant, Recomandări emise de beneficiarii contractelor, precum și alte documente edificatoare care pot atesta experiența coordonatorului de contract.

PUNCTAJ TOTAL (PT) = Punctaj obtinut pentru factorul “Pretul ofertei” + 
Punctajul obtinut pentru factorul “Experiența Coordonatorului de contract”","Experience of the Contract Coordinator: He/She must be a person with a role in coordinating the specific economic activity, in direct relation to the object of the contract to be awarded. He/She must be a person who has been involved in the performance of other contracts with a scope of activity of a complexity similar to that of the present procedure.
In this sense, the experience of the contract manager is an important element in the performance of the Service Contract. For 1 contract, 1 point is awarded; For 2–4 contracts, 5 points are awarded; For 5 or more contracts, 10 points are awarded.
Remarks: To demonstrate the experience of the contract coordinator, the Tenderer shall submit, together with the offer, Contracts/Sections of Contracts from which the object of the contract and the part for which the Contract Coordinator was responsible in its execution can be seen, as well as the relationship between the nominated person and the Tenderer, Recommendations issued by the beneficiaries of the contracts, as well as other supporting documents that can attest to the experience of the contract coordinator.

TOTAL SCORE (TS) = Score obtained for the factor “Offer price” + Score obtained for the factor “Experience of the Contract Coordinator”",
179,no match,,,100198153,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. Points are awarded as follows: a) The lowest price receives the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally as follows: P(n) = (Lowest offered price / Price n) × maximum allocated score.",
180,No match,,,100198153,"Termenul de livrare: Termenul de livrare va fi exprimat în zile. Termenul maxim de livrare este de maxim 70 zile și minim 40 de zile de la semnarea contractului., Punctajul maxim se va acorda ofertei cu termenul de livrare mai mic ofertat. Pentru celelalte oferte punctajul se va calcula conform formulei: cel mai mic termen de livrare dintre termenele de livrare ale ofertelor admisibile / termenul de livrare al ofertei admisibile aflată sub evaluare x punctaj maxim acordat (10 puncte).","Delivery time: The delivery time will be expressed in days. The maximum delivery time is 70 days and the minimum is 40 days from the signing of the contract. The highest score will be awarded to the offer with the shorter delivery time offered. For the other offers, the score will be calculated according to the formula: the shortest delivery time among the delivery times of the admissible offers / the delivery time of the admissible offer under evaluation x maximum score awarded (10 points).",
181,None,,,100198153,"Termenul de garanție: Termenul de garanție va fi exprimat în luni. termenul minim acordat este de 120 de luni., - pentru oferta admisibilă cu cel mai mare termen de garanție acordat se va acorda punctajul maxim: 20 puncte
- pentru restul ofertelor admisibile, punctajul se va acorda utilizând următoarea formulă: termenul de garanție al ofertei admisibile aflată sub evaluare / cel mai mare termen de garanție acordat x punctaj maxim acordat (20 puncte).","Warranty period: The warranty period will be expressed in months. The minimum period granted is 120 months. For the admissible offer with the highest granted warranty period, the maximum score will be awarded: 20 points. For the remaining admissible offers, the score will be awarded using the following formula: the warranty period of the admissible offer under evaluation / the highest granted warranty period × maximum score awarded (20 points).",
182,No match,,,100198159,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. Points are awarded as follows: a) The lowest price receives the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally as follows: P(n) = (Minimum offered price / Price n) × maximum allocated score.",
183,None,,,100198159,"Extinderea duratei de garanție
Punctaj maxim total 40: Componenta tehnica, Punctajul se acordă astfel:  
1.Perioada de garanție minimă acceptată (sub care oferta va fi considerată neconformă) este de 24 de luni; 
2.pentru garanție minima de 24 de luni se acordă 0 puncte, oferta fiind considerată conformă 
3. pentru extinderea perioadei de garanție minime (de 24 de luni) cu o durată suplimentară, dar nu mai mult de 36 de luni, punctajul se calculează astfel: 
P2(t) = (Gsuplimentară ofertată/Gsuplimentară maximă) * Punctaj maxim alocat,  unde: 
 · P(t) = punctaj acordat ofertantului pentru factorul de evaluare ”Extinderea duratei de garanție”  · Gsuplimentară ofertată = perioada de garanție ofertată suplimentar față de perioada de garanție minimă acceptată, exprimată în luni întregi;(maxim 36 luni) 
 Gsuplimentară maximă = perioada de garanție/suport suplimentară maximă ofertata, exprimată în luni întregi.  
 4. pentru garantia suplimentara ofertata de maximum 36 de luni, se acorda punctajul maxim( 40p).","Extension of the warranty period
Total maximum points 40: Technical component, the scoring is awarded as follows:
1. The minimum accepted warranty period (below which the offer will be considered non-compliant) is 24 months;
2. For a minimum warranty of 24 months, 0 points are awarded, the offer being considered compliant;
3. For extending the minimum warranty period (24 months) by an additional duration, but no more than 36 months, the score is calculated as follows:
P2(t) = (Additional warranty offered/Maximum additional warranty) * Maximum allocated score, where:
 · P(t) = points awarded to the tenderer for the evaluation factor “Extension of the warranty period”  · Additional warranty offered = the warranty period offered in addition to the minimum accepted warranty period, expressed in whole months (maximum 36 months)
 Maximum additional warranty = the maximum additional warranty/support period offered, expressed in whole months.
4. For a supplementary warranty offered of up to 36 months, the maximum score is awarded (40 points).",
184,No match,,,100198159,"Ambalaj din material reciclat si reciclabil  
Punctaj maxim total 20: Componenta tehnica, Operatorul Economic demonstrează că utilizează pentru livrare, ambalaje realizate din materiale reciclate si reciclabile (hârtie, carton sau plastic), pentru fiecare produs livrat. 
Punctajul maxim posibil este de 20 puncte pentru ofertele care asigura ambalaje realizate din materiale reciclate si reciclabile. 
Pentru ofertele care nu asigura ambalaje realizate din materiale reciclate si reciclabile– 0 puncte.
Pentru acordarea punctajului se vor prezenta documente relevante de la furnizor/producator/distribuitor care sa ateste ambalaje realizate din  materiale reciclate si reciclabile pentru fiecare produs livrat.","Packaging made from recycled and recyclable material
Maximum total score: 20. Technical component: The Economic Operator demonstrates that, for delivery, it uses packaging made from recycled and recyclable materials (paper, cardboard or plastic) for each product delivered.
The maximum possible score is 20 points for offers that ensure packaging made from recycled and recyclable materials.
For offers that do not ensure packaging made from recycled and recyclable materials – 0 points.
To award the score, relevant documents from the supplier/producer/distributor must be presented attesting packaging made from recycled and recyclable materials for each product delivered.",
185,No match,,,100198185,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. Points are awarded as follows: a) The lowest price receives the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (Lowest offered price / Price n) x maximum allocated score.",
186,No match,,,100198185,"Componenta tehnica 1: Capacitate GPU, Pentru cerința Sistem de procesare server HPC – 3 Buc
a)   GPU AI/ML:
o   Configurația livrată va avea un număr total egal cu 9 unități GPU, conform punctului 1.2.6 din tabelul de specificații tehnice.
Pentru respectarea cerinței din caietul de sarcini, se acordă 0 puncte. 

b)   GPU AI/ML:
o   Configurația livrata va avea un număr total egal cu 10 sau 11 unități GPU, conform punctului 1.2.6 din tabelul de specificații tehnice.
Pentru respectarea factorului de evaluare se acordă 10 puncte.  

c)   GPU AI/ML:
o   Configurația livrata va avea un număr total mai mare sau egal cu 12 unități GPU, conform punctului 1.2.6 din tabelul de specificații tehnice.
Pentru respectarea factorului de evaluare se acordă 20 puncte.","Technical component 1: GPU capacity, for the requirement HPC server processing system – 3 pcs
a) GPU AI/ML:
- The delivered configuration will have a total number equal to 9 GPU units, according to point 1.2.6 in the table of technical specifications.
For meeting the requirement in the specifications, 0 points are awarded.

b) GPU AI/ML:
- The delivered configuration will have a total number equal to 10 or 11 GPU units, according to point 1.2.6 in the table of technical specifications.
For meeting the evaluation factor, 10 points are awarded.

c) GPU AI/ML:
- The delivered configuration will have a total number greater than or equal to 12 GPU units, according to point 1.2.6 in the table of technical specifications.
For meeting the evaluation factor, 20 points are awarded.",
